name,city,country,website
Hotel Maria Cristina,San Sebastian,Spain,hotel-mariacristina.com
Four Seasons Resort,Chiang Mai,Thailand,fourseasons.com/chiangmai
Belmond Grand Hotel Timeo,Taormina,Italy,belmond.com
Esperanza,Cabo San Lucas,Mexico,esperanza.aubergeresorts.com
Brewery Gulch Inn,Mendocino,California,brewerygulchinn.com
Four Seasons Resort,Koh Samui,Thailand,fourseasons.com/kohsamui
Planters Inn,Charleston,South Carolina,plantersinn.com
Alila Manggis,Bali,Indonesia,alilahotels.com/manggis
The Lanesborough,London,England,oetkercollection.com
Sol y Luna,Sacred Valley,Peru,hotelsolyluna.com
Hewing Hotel,Minneapolis,United States,hewinghotel.com
Four Seasons Resort,Hoi An,Vietnam,https://www.fourseasons.com/hoian/
The Cloister,Sea Island,United States,https://www.seaisland.com/
The Setai,Miami Beach,United States,thesetaihotel.com
Pendry,San Diego,United States,pendryhotels.com/san-diego
Aman,Venice,Italy,aman.com
The Beekman,New York City,New York,thebeekman.com
Amanpuri,Phuket,Thailand,aman.com
Katikies,Santorini,Greece,katikies.com
Qualia,Hamilton Island,Australia,qualia.com.au
Farm at Cape Kidnappers,Hawkes Bay,New Zealand,robertsonlodges.com
Triple Creek Ranch,Darby,Montana,triplecreekranch.com
Taj Diplomatic Enclave,New Delhi,India,tajhotels.com
Wickaninnish Inn,Tofino,British Columbia,wickinn.com
J.K. Place,Capri,Italy,jkcapri.com
InterContinental Bora Bora Resort & Thalasso Spa,Bora Bora,French Polynesia,thalasso.intercontinental.com
C Lazy U Ranch,Grand County,Colorado,triplecreekranch.com
Rosewood Mayakoba,Playa del Carmen,Mexico,rosewoodhotels.com
Chileno Bay Resort & Residences,Cabo San Lucas,Mexico,chilenobay.aubergeresorts.com
Raffles,Singapore,Asia,raffles.com/singapore
Primland,Meadows of Dan,Virginia,primland.com
Nizuc Resort & Spa,Cancun,Mexico,nizuc.vom
Post Ranch Inn,Big Sur,California,postranchinn.com
The Alpina,Gstaad,Switzerland,thealpinagstaad.ch
Singular Patagonia,Puerto Bories,Chile,thesingular.com
Carlton Hotel,St. Moritz,Switzerland,carlton-stmoritz.ch
Hacienda AltaGracia,Perez Zeledon,Costa Rica,altagracia.aubergeresorts.com
Spectator Hotel,Charleston,South Carolina,altagracia.aubergeresorts.com
Banyan Tree Cabo Marques,Acapulco,Mexico,banyantree.com
Palace Hotel,Tokyo,Japan,palacehoteltokyo.com
La Mamounia,Marrakesh,Morocco,mamounia.com
Badrutts Palace Hotel,St. Moritz,Switzerland,badruttspalace.com
Taj,Bangalore,India,tajhotels.com
Le Meurice,Paris,France,dorchestercollection.com
Jade Mountain,St. Lucia,Caribbean,jademountain.com
The Oberoi,Gurgaon,India,oberoihotels.com
